159 MORI,M.
159 LU,D.A.M.
157 EATON,D.L.
156 MATSUMOTO,T.
156 YAMAMOTO,H.
156 BENNETT,C.F.
156 MORI,K.
156 SAITO,K.
156 RAJEEV,K.G.
155 COWSERT,L.M.
155 KANG,S.
155 INOUE,H.
155 ROSENTHAL,A.
155 SUGIYAMA,H.
155 CHOI,H.
154 NARVA,K.E.
153 KIM,Y.H.
153 KOBAYASHI,S.
153 GRIMALDI,J.C.
153 KLOPPROGGE,C.
153 DAIGO,Y.
153 KIM,Y.J.
152 YU,D.
152 RAMKUMAR,J.
151 CHEN,S.
151 ELLIOTT,V.S.
151 ZHU,Q.Q.
150 FEINSTEIN,E.
150 HAEFNER,S.
149 KATO,T.
148 KROEGER,B.
148 LAVALLIE,E.R.
148 SHIMKETS,R.A.
148 LIU,H.
148 CHALLITA-EID,P.M.
148 PARK,J.H.
147 JACOBS,K.
147 TSUCHIYA,M.
147 HAN,J.
147 TRIBOULEY,C.M.
147 YOSHIMURA,S.
146 SAITO,H.
146 YOSHIDA,T.
146 KNOPF,J.
146 INOUE,Y.
145 CARR,F.J.
145 WARD,M.
145 VASSEROT,A.P.
145 XU,H.
145 ZAMBROWICZ,B.
145 INOUE,M.
145 PARK,K.
144 YOSHIDA,M.
144 CROCE,C.M.
144 ADLER,J.E.
144 NGUYEN,D.B.
144 SUN,J.
143 SUZUKI,Y.
143 YOSHIDA,H.
143 MCCOY,J.M.
143 KATO,Y.
143 DING,L.
142 HAYASHI,K.
142 CHANG,C.
142 BURFORD,N.
142 PARK,S.J.
141 LIN,C.
141 NAKAMURA,N.
141 GERRITSEN,M.E.
141 KODAMA,Y.
140 HINUMA,S.
140 GENTZ,R.L.
140 KRIEG,A.M.
139 HOSHINO,T.
139 YOSHIDA,S.
138 KOBAYASHI,K.
138 KHORKOVA SHERMAN,O.
137 XU,W.
137 TANG,L.
137 TAKAHASHI,S.
137 OH,S.
137 HUANG,X.
137 WATANABE,S.
137 TAKAHASHI,Y.
137 FRANKARD,V.
137 LEAKE,D.
136 KIM,C.H.
136 EBNER,R.
136 SASAKI,T.
136 KLEIN,C.
136 YOSHIDA,Y.
136 HAYASHI,T.
136 PARK,S.H.
135 MATSUMOTO,M.
135 GOLI,S.K.
135 KATO,M.
134 NAKAJIMA,T.
134 MOORE,P.A.
134 SOUCAILLE,P.
134 PARK,M.
134 KIM,I.
133 WU,L.
133 IVERSEN,P.L.
133 WANG,S.
133 SHI,Y.
133 YANG,S.
133 GRASSO,L.
133 HERMANN,T.
133 LU,J.
133 SCHULTZ,P.G.
132 REED,S.G.
132 YAMAMOTO,M.
132 PARK,C.
132 POWER,C.
130 NAGAI,K.
130 GOEDEGEBUUR,F.
130 CHEN,C.
130 SHORT,J.M.
130 LEE,J.Y.
130 SANDS,A.T.
130 MORI,Y.
129 LOWMAN,H.B.
129 DILLON,D.C.
129 CHEN,W.
129 GREENE,L.A.
128 IGARASHI,K.
128 SASAKI,K.
128 YAMANAKA,S.
128 ZHAO,X.
128 SONG,J.
128 FOORD,O.
127 SUZUKI,N.
127 LI,D.
127 WU,X.
127 WATANABE,H.
127 SHIMIZU,N.
127 GAO,Z.
127 KANG,H.
127 LEE,E.A.
127 SCARSELLI,M.
127 NAGY,E.
127 MARSHALL,W.
126 FROHBERG,C.
126 POMPEJUS,M.
126 CAHOON,R.E.
126 LI,W.
126 OKA,M.
126 LIU,W.
126 REYNOLDS,A.
126 MOESSNER,E.
125 LIU,S.
125 HARRIS,P.
125 WOOD,K.V.
125 LEE,G.
124 KATO,K.
124 KIM,E.
124 LEE,Y.S.
124 WARREN,B.A.
124 BOTSTEIN,D.
124 ROY,M.A.
123 HUANG,J.
123 YAMAMOTO,S.
123 ABE,K.
123 TURECI,O.
123 ENDO,K.
123 POLAKIS,P.
123 NAKAMURA,M.
123 OSAWA,R.
123 SETH,P.P.
122 ALITALO,K.
122 INOUE,S.
122 SUGIYAMA,T.
122 SHINTANI,Y.
122 MIRKIN,C.A.
122 MATSUI,T.
122 FLASINSKI,S.
122 POOLMAN,J.
122 HIRAI,M.
122 GURER,C.
121 SHAW,A.
121 LEE,S.J.
121 FUJII,T.
121 HASHIMOTO,K.
121 KONDO,K.
121 NICOLAIDES,N.C.
121 ISHIGURO,T.
121 LADNER,R.C.
121 BERLIN,K.
121 LIN,J.
121 CHO,S.
121 FOLTZ,I.
121 LEE,Y.J.
120 WANG,M.
120 ZHANG,F.
120 YUAN,J.
120 YOSHIDA,K.
120 YAN,C.
120 URNOV,F.
120 LEE,D.H.
120 ABURATANI,H.
119 SHIMIZU,S.
119 ANDERSEN,C.
119 ISHIKAWA,T.
119 HANSEN,H.J.
119 SPYTEK,K.A.
119 GUPTA,M.
118 MATSUI,H.
118 AOKI,K.R.
118 ZHOU,J.
118 OGAWA,K.
118 STEMMER,W.P.C.
118 STEWART,T.A.
118 KIM,Y.S.
117 SCHMIDT,M.
117 ECKER,D.J.
117 UCHIDA,K.
117 RIEPING,M.
117 KETCHUM,K.A.
117 YAMASHITA,T.
117 WU,T.D.
116 CONKLIN,D.C.
116 ZHOU,X.
116 FAGAN,R.J.
116 FRANKLIN,S.
116 KIM,H.K.
115 BOON-FALLEUR,T.
115 TAKEDA,K.
115 HONG,F.
114 HODGSON,J.E.
114 FRIEDRICH,G.
114 LIM,S.
114 KONDO,S.
114 FARWICK,M.
114 KIM,K.H.
114 MEINKE,A.
114 AHN,J.
113 MERBERG,D.
113 JIANG,Y.
113 SCARINGE,S.
113 GURNEY,A.
113 MUKAI,H.
113 YAN,J.
112 YAMAGUCHI,K.
112 UEMORI,T.
112 TANAKA,A.
112 YU,G.-L.
112 LUO,Y.
112 INOUE,T.
112 LIU,B.
111 MUELLER,R.
